"","GeneName"
"429","Ddr1"
"430","Atat1"
"431","Hadh"
"432","Gclm"
"433","Gm19412"
"434","Nup133"
"435","Mvd"
"436","Zfp101"
"437","2610044O15Rik8"
"438","2410004B18Rik"
"439","Sh3glb1"
"440","Sep15"
"441","Gabarap"
"442","Slc35b2"
"443","Arf4"
"444","Dlk2"
"445","Tmem256"
"446","Tkt"
"447","Arhgef2"
"448","Selk"
"449","Fdps"
"450","Thbs3"
"451","Muc1"
"452","Efnb3"
"453","Dram2"
"454","2810402E24Rik"
"455","Adgrf4"
"456","Tnfrsf21"
"457","Dhcr24"
"458","Ppp2r1a"
"459","Tmem98"
"460","Leprot"
"461","Ctps"
"462","Clgn"
"463","Efcab14"
"464","Acat2"
"465","Ipo13"
"466","Dph2"
"467","Znrf1"
"468","Slc25a51"
"469","BC004004"
"470","Tmem208"
"471","Ptprd"
"472","B3gnt9"
"473","Nubp2"
"474","E130308A19Rik"
"475","Slc44a1"
"476","Snx30"
"477","Atp6v1g1"
"478","Tssc4"
"479","Cd81"
"480","Ywhaq"
"481","Gm4419"
"482","Dhcr7"
"483","Cic"
"484","Cadm4"
"485","Cyp2s1"
"486","RP23-291B1.2"
"487","Mocs2"
"488","Sirt2"
"489","Ech1"
"490","Nfkbib"
"491","Rdh14"
"492","Slc22a23"
"493","Rab10"
"494","Gm5113"
"495","Aig1"
"496","Sptssa"
"497","Itpr2"
"498","Map7"
"499","Tssc1"
"500","Inppl1"
"501","Ctsl"
"502","Sytl2"
"503","Tmem9b"
"504","Zfp169"
"505","Cyth2"
"506","Erbb2ip"
"507","Fgfr2"
"508","Ninj1"
"509","Ercc8"
"510","Ndufaf2"
"511","Smim15"
"512","Plekha1"
"513","Tppp"
"514","Tmem159"
"515","Sh3gl3"
"516","Gde1"
"517","Tarsl2"
"518","Mapk3"
"519","Jmy"
"520","Klf13"
"521","Serinc5"
"522","4833439L19Rik"
"523","Gnptab"
"524","Ubl3"
"525","Ano4"
"526","Shfm1"
"527","Anks1b"
"528","Fscn1"
"529","Arpc1b"
"530","Nudt4"
"531","Cdr2l"
"532","Arpc1a"
"533","Dazap1"
"534","P4hb"
"535","Ncln"
"536","Sppl2b"
"537","Trim24"
"538","Slc26a11"
"539","1110006O24Rik"
"540","Prickle1"
"541","Hdac5"
"542","Fcor"
"543","Mdm2"
"544","Sox10"
"545","Tsc22d4"
"546","H1f0"
"547","Phlda1"
"548","Gnb2"
"549","2610035D17Rik"
"550","Atxn7l3b"
"551","1810041L15Rik"
"552","Diablo"
"553","Zcchc8"
"554","Cdk2ap1"
"555","Tmed2"
"556","5031439G07Rik"
"557","Atp6v0a2"
"558","Aco2"
"559","Mical3"
"560","Sptlc2"
"561","Csgalnact2"
"562","0610007P14Rik"
