,Acinar,Ductal_term,Ductal_CRISP3,Cancer_A,Ductal_MHCII,Cancer_B,mDCs_A,Ductal_APOL1,Tuft,mDCs_B,pDCs,Endocrine,Endothelial,Macro_A,Mast,Macro_B,T_NK,Mono,RBC,Fibro
202,0.11011428,0.11635074,0.15078646,0.20719025,0.20719306,0.11825156,0.05428892,0.023015155,0.008402097,0.002810395,0.000958019,0.00029703,8.34E-05,0.000168279,5.34E-05,8.78E-06,7.78E-06,8.26E-06,6.39E-06,5.73E-06
203,0.1219152,0.11424848,0.1789617,0.200236,0.1281342,0.14957678,0.056854486,0.027394766,0.012069261,0.005699159,0.002353709,0.000927138,0.000398762,0.000680549,0.000258341,6.58E-05,6.04E-05,6.75E-05,5.12E-05,4.67E-05
204,0.06678937,0.09185319,0.1703782,0.2338217,0.19055201,0.14331684,0.06493916,0.026109135,0.008151583,0.002874847,0.000702568,0.000237384,6.44E-05,0.00015225,3.56E-05,5.04E-06,4.64E-06,4.97E-06,3.77E-06,3.28E-06
205,0.04812219,0.14716847,0.16222505,0.22165664,0.0757982,0.24031648,0.0601657,0.02381612,0.012390819,0.005286089,0.00127237,0.000656722,0.000229733,0.000648983,0.000135749,2.51E-05,2.47E-05,2.44E-05,1.95E-05,1.70E-05
206,0.043916482,0.11689944,0.038721874,0.24471894,0.23164685,0.19182374,0.09549476,0.028169502,0.00703973,0.001188326,0.000259736,6.48E-05,6.31E-06,4.09E-05,7.49E-06,3.02E-07,2.61E-07,1.96E-07,1.80E-07,1.60E-07
207,0.04832104,0.28852135,0.021281898,0.49601525,0.051154822,0.068843946,0.018000392,0.005962677,0.001644607,0.000219251,2.90E-05,4.80E-06,3.34E-07,5.51E-07,1.26E-07,7.77E-09,5.63E-09,3.36E-09,3.12E-09,2.84E-09
208,0.03056839,0.070748925,0.000296195,0.84939206,0.023331132,0.014264689,0.008855676,0.002482157,5.79E-05,2.54E-06,2.32E-07,5.13E-09,6.15E-11,1.13E-10,3.63E-11,2.24E-13,1.19E-13,3.88E-14,4.13E-14,4.13E-14
209,0.07875362,0.035271417,0.3900889,0.20052089,0.15908784,0.08888218,0.031743534,0.012153739,0.002207745,0.001148769,0.000105286,2.16E-05,6.78E-06,5.75E-06,1.05E-06,1.96E-07,1.69E-07,2.24E-07,1.38E-07,1.13E-07
210,0.07591454,0.27539724,0.24097528,0.08692806,0.13070787,0.12533814,0.037555847,0.012598451,0.009944897,0.003346265,0.000629043,0.00031084,9.76E-05,0.000180717,3.46E-05,9.67E-06,8.72E-06,8.51E-06,7.20E-06,6.52E-06
211,0.034446783,0.03205329,0.22276828,0.2012282,0.36149698,0.07571565,0.051829178,0.017153176,0.002460479,0.000757656,6.79E-05,1.41E-05,2.50E-06,4.93E-06,6.18E-07,5.20E-08,4.68E-08,5.39E-08,3.72E-08,3.00E-08
212,0.089230716,0.15580966,0.26214474,0.13443984,0.12581977,0.15054904,0.046442002,0.018767424,0.010077013,0.00450623,0.001054762,0.00047348,0.000182839,0.000327788,7.86E-05,2.15E-05,2.03E-05,2.20E-05,1.72E-05,1.52E-05
213,0.052802883,0.16049217,0.28179595,0.1620616,0.11730488,0.1532291,0.04318096,0.016323693,0.008236324,0.003367597,0.000583584,0.000278115,8.97E-05,0.000187276,3.31E-05,7.37E-06,7.19E-06,7.52E-06,5.94E-06,5.05E-06
214,0.08793895,0.1193205,0.24662422,0.19825938,0.14243451,0.12726887,0.045193702,0.019496273,0.008288045,0.003518214,0.000891061,0.000344238,0.00012239,0.000193647,5.18E-05,1.23E-05,1.15E-05,1.27E-05,9.46E-06,8.35E-06
215,0.11007524,0.06862725,0.18964514,0.18542969,0.2822256,0.08748785,0.049392704,0.019631026,0.005077435,0.001804147,0.000418513,9.95E-05,2.68E-05,4.04E-05,1.12E-05,1.76E-06,1.53E-06,1.75E-06,1.26E-06,1.10E-06
216,0.065717034,0.088876,0.1986039,0.21827416,0.20672566,0.1299444,0.05807356,0.023168616,0.00717592,0.002538715,0.000537884,0.000176744,4.79E-05,0.000102884,2.23E-05,3.29E-06,3.04E-06,3.31E-06,2.47E-06,2.14E-06
217,0.08126719,0.07015866,0.24884261,0.16735443,0.2162153,0.1289834,0.05444313,0.022106225,0.006770525,0.002968693,0.000540493,0.000166139,5.36E-05,9.28E-05,2.06E-05,3.64E-06,3.37E-06,3.93E-06,2.83E-06,2.44E-06
218,0.12415555,0.085972436,0.1614147,0.2345711,0.24284019,0.0798539,0.044894204,0.018986857,0.005006908,0.001608735,0.000485708,0.000114025,2.98E-05,4.28E-05,1.40E-05,2.26E-06,1.89E-06,2.10E-06,1.54E-06,1.37E-06
