,TM4SF1,C4A,CRISP3,CD248
280,0,0,0,0
281,0.083333333,0,0,0
282,0.138888889,0,0,0
283,0.138888889,0,0,0
284,0.166666667,0,0,0
285,0.222222222,0,0.058823529,0.076923077
286,0.166666667,0,0,0.076923077
287,0.138888889,0,0,0.076923077
288,0,0,0,0
289,0,0,0,0
290,0.027777778,0,0,0
291,0,0,0,0
292,0.027777778,0.052631579,0,0
293,0,0,0,0
294,0.055555556,0,0,0
295,0.027777778,0.052631579,0,0
296,0,0,0,0
297,0,0,0,0
298,0.055555556,0,0,0
299,0.166666667,0,0,0.307692308
300,0.25,0,0,0.076923077
301,0,0,0,0
302,0.083333333,0,0,0.153846154
303,0.361111111,0,0,0.153846154
304,0.305555556,0,0,0.076923077
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0.083333333,0,0,0.076923077
310,0.083333333,0,0,0.076923077
311,0.111111111,0,0,0
312,0.111111111,0,0,0
313,0.027777778,0,0,0
314,0.166666667,0.052631579,0,0.076923077
315,0.222222222,0,0,0.076923077
316,0.111111111,0,0,0.230769231
317,0.166666667,0,0,0.076923077
318,0.111111111,0,0,0
319,0.722222222,0,0,0
320,1,0.105263158,0,0.384615385
321,0,0,0,0
322,0.083333333,0,0,0.076923077
323,0.027777778,0,0,0
324,0.027777778,0,0,0
325,0.027777778,0,0,0
326,0.083333333,0.052631579,0,0
327,0.222222222,0,0,0
328,0.194444444,0,0,0
329,0.083333333,0,0,0
330,0.194444444,0,0,0
331,0.222222222,0,0.058823529,0.153846154
332,0.361111111,0,0,0.230769231
333,0.055555556,0,0,0.076923077
334,0.166666667,0,0,0
335,0.166666667,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0.222222222,0,0,0
340,0.777777778,0,0,0
341,0.5,0,0,0.076923077
342,0.111111111,0,0,0
343,0.055555556,0,0,0.076923077
344,0.388888889,0,0,0.076923077
345,0.416666667,0,0,0.230769231
346,0,0,0,0
347,0.111111111,0,0,0
348,0,0,0,0
349,0.888888889,0,0,0.230769231
350,0.861111111,0,0,0
351,0.194444444,0,0,0.076923077
352,0.027777778,0,0,0.076923077
353,0.25,0,0,0
354,0.361111111,0,0,0
355,0.027777778,0,0,0
356,0.333333333,0,0,0
357,0.277777778,0,0,0
358,0.083333333,0,0,0
