,GC,PGC,M/TC,OSNs,EPL-IN
25.107x22.896,0.6543762,0.095844254,0.19000553,0.020283299,0.039490785
25.119x23.921,0.5924867,0.14427459,0.15788947,0.044450887,0.060898356
25.013x24.806,0.6851871,0.08194377,0.19037822,0.006014636,0.03647631
26.159x24.845,0.6784821,0.07670907,0.1852529,0.01190713,0.047648735
27.976x24.882,0.44455883,0.21427667,0.18624449,0.09473907,0.06018102
27.031x24.865,0.41721043,0.20598473,0.22736111,0.098337345,0.051106367
28.98x23.89,0.4283089,0.25940794,0.17619282,0.074652314,0.06143803
28.994x22.861,0.40560743,0.25695983,0.18583429,0.09115507,0.06044339
29.007x24.906,0.41230676,0.23767187,0.19057843,0.08736825,0.07207466
23.159x20.027,0.61023027,0.15854764,0.16960339,0.024775103,0.036843646
23.1x19.036,0.5713495,0.14859577,0.1694325,0.0566029,0.0540194
24.124x19.029,0.6444827,0.11329278,0.17861201,0.01672328,0.0468893
24.122x18.025,0.6992515,0.07307076,0.18022321,0.001599645,0.04585487
24.096x20.049,0.7172652,0.06929875,0.1719398,0.006242019,0.035254292
23.114x18.019,0.65653086,0.10584851,0.18561658,0.008211219,0.043792874
21.919x17.952,0.57446665,0.1062764,0.29741985,0.002022642,0.019814441
20.975x20.036,0.46686095,0.23718677,0.22198614,0.032750633,0.0412155
20.97x17.974,0.4653867,0.2342778,0.19760151,0.05099614,0.05173777
21.934x18.934,0.5901539,0.10735506,0.2851409,0.002649329,0.014700884
21.956x19.964,0.50014627,0.19576985,0.25591063,0.015757257,0.032415997
20.96x18.968,0.46637008,0.23281501,0.20611548,0.04635747,0.04834197
20.929x20.972,0.37199152,0.27058274,0.35206223,0.000593474,0.004770038
21.933x21.931,0.44186905,0.20231494,0.31934574,0.01972762,0.01674262
21.006x21.941,0.45510668,0.25770685,0.25518078,0.01135375,0.020651944
21.976x20.925,0.52323323,0.18090329,0.22864413,0.03777453,0.029444797
24.1x22.013,0.6842831,0.07725327,0.17991641,0.011229569,0.047317706
23.115x21.019,0.72856677,0.061607163,0.18005668,0.003747041,0.026022442
23.156x22.013,0.68201035,0.088852115,0.18186045,0.01436643,0.032910615
24.13x21.008,0.66776276,0.08468166,0.16931948,0.022289047,0.055947
19.037x17.976,0.45176172,0.19339661,0.17928648,0.12498432,0.050570793
20.051x20.007,0.46659067,0.19390132,0.17603417,0.11015503,0.053318832
18.978x20.047,0.41521633,0.22204183,0.30615,0.020422636,0.03616924
18.957x18.977,0.45672232,0.19239357,0.17424007,0.11264073,0.06400332
19.993x18.035,0.47667167,0.17137879,0.18572843,0.12417336,0.042047754
20.062x19.0,0.46482986,0.18200827,0.16908698,0.12401187,0.060063004
16.987x17.981,0.56867,0.12728415,0.26977575,0.005438884,0.028831279
17.028x19.984,0.46040758,0.19398537,0.19099066,0.102151774,0.052464567
17.956x18.006,0.3944152,0.2650008,0.31151232,0.00764879,0.02142289
16.987x18.995,0.45750988,0.21052441,0.27087757,0.024195772,0.036892496
17.976x19.0,0.44194102,0.24062021,0.18152009,0.07055234,0.065366395
17.998x20.091,0.49198467,0.20794265,0.11922252,0.105179995,0.07567019
18.068x22.018,0.43718445,0.28974214,0.20732023,0.016291512,0.049461666
17.988x21.045,0.41960537,0.29853615,0.24171667,0.008057761,0.032084
16.981x20.987,0.4407979,0.20390742,0.2027113,0.09609583,0.056487516
16.965x22.101,0.44802487,0.2164812,0.1814985,0.09811129,0.055884134
19.032x21.982,0.46531728,0.19106027,0.18128029,0.10083166,0.061510414
18.98x21.065,0.46314478,0.19902359,0.1773652,0.09799343,0.06247302
20.072x20.997,0.45363033,0.19401081,0.18756258,0.11140297,0.053393334
20.053x21.979,0.4434335,0.22214712,0.16240166,0.10901808,0.06299961
20.078x22.838,0.42898518,0.21711633,0.18922876,0.110486835,0.054182854
20.111x23.889,0.43587455,0.22744761,0.17212461,0.10448119,0.060072076
19.039x23.982,0.44776583,0.20286644,0.18895636,0.10414053,0.05627082
18.984x22.881,0.4548677,0.19565839,0.17761151,0.111786745,0.060075752
16.93x22.932,0.46078822,0.20027128,0.18163508,0.1083428,0.048962668
18.155x22.881,0.43675345,0.24728179,0.18224536,0.08373161,0.049987856
16.869x23.909,0.47694603,0.20245329,0.27349374,0.018413428,0.028693477
18.126x23.926,0.41135868,0.28311196,0.2688359,0.007192675,0.029500835
16.988x24.905,0.49543878,0.18097757,0.28417668,0.013715014,0.02569188
18.033x24.967,0.44495058,0.20704244,0.21057177,0.08326319,0.05417202
18.997x24.953,0.4579958,0.21081477,0.16359322,0.09869909,0.06889711
20.094x24.903,0.43736982,0.23365816,0.1771675,0.100138724,0.051665742
23.176x22.999,0.7430211,0.05790522,0.17107294,0.002202369,0.025798377
24.112x22.904,0.5645494,0.20368394,0.1648051,0.033567,0.0333945
24.115x23.954,0.5804104,0.16821373,0.16240063,0.042090133,0.0468851
23.182x23.977,0.7012601,0.07771458,0.18554844,0.003551702,0.03192521
20.923x23.871,0.4350336,0.24417186,0.2585744,0.036263134,0.025957117
21.938x23.891,0.50452137,0.19994807,0.26209888,0.004664605,0.02876707
21.949x22.839,0.46884352,0.1874616,0.21930568,0.09118732,0.03320188
21.011x22.796,0.41684568,0.26161492,0.28620708,0.0160431,0.019289255
21.016x24.87,0.4149733,0.22297506,0.3537401,0.004291346,0.004020182
21.956x24.877,0.51254994,0.1510841,0.32139733,0.003558261,0.011410286
23.227x24.938,0.66297853,0.09949334,0.17694134,0.020226613,0.040360127
24.213x24.842,0.6557249,0.098896354,0.16275385,0.025684614,0.056940243
17.994x15.992,0.42782763,0.26266637,0.22813635,0.03915587,0.042213816
16.927x15.977,0.49988392,0.20175762,0.253331,0.023965972,0.021061404
18.904x15.986,0.48013029,0.19743665,0.15519403,0.10442291,0.06281614
20.085x15.949,0.4612082,0.19032729,0.18064481,0.116219014,0.051600713
21.901x15.95,0.4443657,0.23914407,0.22493534,0.056212194,0.03534271
20.933x15.956,0.47013372,0.19635156,0.1706519,0.11030527,0.05255756
23.132x16.038,0.4783667,0.18401444,0.18180715,0.10466019,0.051151484
24.059x16.02,0.45694137,0.2046974,0.18322341,0.09716478,0.057973005
26.042x15.983,0.4316577,0.22424084,0.18447831,0.10271974,0.056903407
25.075x16.007,0.431604,0.24956532,0.1890095,0.07872396,0.051097237
26.992x15.973,0.4401838,0.17488772,0.20684552,0.1287246,0.04935833
9.885x15.988,0.47756305,0.18991433,0.16558732,0.1045691,0.06236618
12.064x16.067,0.45763165,0.19610493,0.17349957,0.11165182,0.061111923
10.877x15.971,0.48377416,0.1765258,0.17118454,0.109823495,0.05869202
13.093x16.033,0.42736635,0.2517132,0.16987039,0.087634616,0.06341549
14.008x16.038,0.48044053,0.1981477,0.18135123,0.087166764,0.05289381
15.956x16.001,0.6433164,0.10640811,0.1674542,0.017186528,0.065634765
15.001x16.014,0.6128845,0.118355244,0.22844407,0.003856971,0.036459178
17.002x15.002,0.4698978,0.2339141,0.21446316,0.04064358,0.04108139
17.969x15.026,0.46115214,0.23391482,0.15171957,0.09764313,0.05557031
12.045x15.052,0.47650883,0.18080242,0.17327085,0.11185099,0.05756691
10.877x14.964,0.47526306,0.17066768,0.18130696,0.10899582,0.06376652
15.026x15.004,0.47119838,0.19829582,0.18333246,0.09083339,0.056339946
15.908x15.036,0.47460854,0.19334218,0.15830816,0.10584294,0.06789821
13.083x15.039,0.44817695,0.21434383,0.18266547,0.09886835,0.055945426
13.973x15.034,0.4282394,0.23818803,0.17308447,0.10362406,0.056864034
23.151x15.033,0.42304298,0.27123,0.2670463,0.006690132,0.03199059
24.092x15.02,0.42868835,0.27320045,0.17994486,0.06946591,0.048700485
21.908x14.979,0.4457795,0.27739644,0.19797997,0.044422887,0.034421135
25.077x15.02,0.43705472,0.21536395,0.17641793,0.102493204,0.06867014
17.983x13.979,0.45591843,0.18104678,0.16998842,0.12915431,0.06389208
16.906x13.965,0.49228942,0.2076817,0.11942871,0.105150744,0.075449415
15.042x14.003,0.4572234,0.23034194,0.16550669,0.095343396,0.051584646
15.96x13.988,0.45985708,0.22826076,0.15349536,0.09324483,0.06514197
14.015x14.092,0.43760172,0.20806812,0.19822958,0.08943917,0.06666134
9.938x25.924,0.4756483,0.26279643,0.17806098,0.039582197,0.043912105
10.906x25.928,0.48475206,0.19385779,0.16974734,0.09018854,0.06145436
12.211x26.031,0.661199,0.09053959,0.18358244,0.012416131,0.052262835
13.941x25.99,0.6196464,0.12506224,0.17059904,0.02686839,0.057824023
